Period,changes-in-per-cent
28.02.1999,1.60593
31.03.1999,1.726264
30.04.1999,2.276923
31.05.1999,2.088452
30.06.1999,1.96319
31.07.1999,2.144608
31.08.1999,2.264382
30.09.1999,2.628362
31.10.1999,2.560976
30.11.1999,2.621951
31.12.1999,2.684564
31.01.2000,2.738892
29.02.2000,3.221884
31.03.2000,3.757576
30.04.2000,3.068592
31.05.2000,3.188929
30.06.2000,3.730445
31.07.2000,3.659268
31.08.2000,3.411131
30.09.2000,3.454437
31.10.2000,3.448276
30.11.2000,3.446227
31.12.2000,3.386809
31.01.2001,3.732227
28.02.2001,3.533569
31.03.2001,2.920561
30.04.2001,3.269119
31.05.2001,3.61516
30.06.2001,3.24826
31.07.2001,2.719907
31.08.2001,2.719907
30.09.2001,2.648244
31.10.2001,2.126437
30.11.2001,1.895462
31.12.2001,1.551724
31.01.2002,1.142204
28.02.2002,1.137656
31.03.2002,1.475596
30.04.2002,1.639344
31.05.2002,1.181767
30.06.2002,1.067416
31.07.2002,1.464789
31.08.2002,1.802817
30.09.2002,1.514302
31.10.2002,2.025886
30.11.2002,2.198422
31.12.2002,2.37691
31.01.2003,2.597403
28.02.2003,2.980877
31.03.2003,3.020134
30.04.2003,2.224694
31.05.2003,2.057842
30.06.2003,2.112285
31.07.2003,2.109939
31.08.2003,2.158273
30.09.2003,2.320442
31.10.2003,2.040816
30.11.2003,1.76503
31.12.2003,1.879491
31.01.2004,1.926252
29.02.2004,1.693064
31.03.2004,1.737242
30.04.2004,2.285092
31.05.2004,3.051771
30.06.2004,3.266195
31.07.2004,2.990756
31.08.2004,2.654388
30.09.2004,2.537797
31.10.2004,3.189189
30.11.2004,3.523035
31.12.2004,3.255562
31.01.2005,2.969762
28.02.2005,3.007519
31.03.2005,3.148346
30.04.2005,3.510638
31.05.2005,2.80275
30.06.2005,2.530311
31.07.2005,3.167899
31.08.2005,3.641161
30.09.2005,4.686677
31.10.2005,4.347826
30.11.2005,3.455497
31.12.2005,3.415659
31.01.2006,3.985317
28.02.2006,3.597497
31.03.2006,3.362649
30.04.2006,3.545735
31.05.2006,4.166667
30.06.2006,4.318766
31.07.2006,4.145343
31.08.2006,3.818737
30.09.2006,2.062374
31.10.2006,1.305221
30.11.2006,1.973684
31.12.2006,2.54065
31.01.2007,2.075643
28.02.2007,2.415199
31.03.2007,2.778779
30.04.2007,2.573697
31.05.2007,2.690864
30.06.2007,2.687038
31.07.2007,2.358231
31.08.2007,1.970083
30.09.2007,2.755052
31.10.2007,3.536174
30.11.2007,4.306203
31.12.2007,4.081269
31.01.2008,4.280294
29.02.2008,4.026555
31.03.2008,3.981456
30.04.2008,3.93689
31.05.2008,4.175543
30.06.2008,5.02179
31.07.2008,5.600123
31.08.2008,5.371855
30.09.2008,4.936927
31.10.2008,3.655186
30.11.2008,1.069575
31.12.2008,0.091413
31.01.2009,0.029847
28.02.2009,0.236191
31.03.2009,-0.383556
30.04.2009,-0.736886
31.05.2009,-1.281436
30.06.2009,-1.426776
31.07.2009,-2.097161
31.08.2009,-1.484349
30.09.2009,-1.286206
31.10.2009,-0.182848
30.11.2009,1.838296
31.12.2009,2.721331
31.01.2010,2.625709
28.02.2010,2.143332
31.03.2010,2.313959
30.04.2010,2.236447
