Period,changes-in-per-cent
1996-12-31,3.322476
1997-01-31,3.044041
1997-02-28,3.034216
1997-03-31,2.761721
1997-04-30,2.495202
1997-05-31,2.234994
1997-06-30,2.297384
1997-07-31,2.229299
1997-08-31,2.225048
1997-09-30,2.154626
1997-10-31,2.084649
1997-11-30,1.828499
1997-12-31,1.702396
1998-01-31,1.571339
1998-02-28,1.441103
1998-03-31,1.375
1998-04-30,1.435705
1998-05-31,1.686446
1998-06-30,1.684342
1998-07-31,1.682243
1998-08-31,1.616915
1998-09-30,1.488834
1998-10-31,1.485149
1998-11-30,1.547988
1998-12-31,1.611903
1999-01-31,1.670792
1999-02-28,1.60593
1999-03-31,1.726264
1999-04-30,2.276923
1999-05-31,2.088452
1999-06-30,1.96319
1999-07-31,2.144608
1999-08-31,2.264382
1999-09-30,2.628362
1999-10-31,2.560976
1999-11-30,2.621951
1999-12-31,2.684564
2000-01-31,2.738892
2000-02-29,3.221884
2000-03-31,3.757576
2000-04-30,3.068592
2000-05-31,3.188929
2000-06-30,3.730445
2000-07-31,3.659268
2000-08-31,3.411131
2000-09-30,3.454437
2000-10-31,3.448276
2000-11-30,3.446227
2000-12-31,3.386809
2001-01-31,3.732227
2001-02-28,3.533569
2001-03-31,2.920561
2001-04-30,3.269119
2001-05-31,3.61516
2001-06-30,3.24826
2001-07-31,2.719907
2001-08-31,2.719907
2001-09-30,2.648244
2001-10-31,2.126437
2001-11-30,1.895462
2001-12-31,1.551724
2002-01-31,1.142204
2002-02-28,1.137656
2002-03-31,1.475596
2002-04-30,1.639344
2002-05-31,1.181767
2002-06-30,1.067416
2002-07-31,1.464789
2002-08-31,1.802817
2002-09-30,1.514302
2002-10-31,2.025886
2002-11-30,2.198422
2002-12-31,2.37691
2003-01-31,2.597403
2003-02-28,2.980877
2003-03-31,3.020134
2003-04-30,2.224694
2003-05-31,2.057842
2003-06-30,2.112285
2003-07-31,2.109939
2003-08-31,2.158273
2003-09-30,2.320442
2003-10-31,2.040816
2003-11-30,1.76503
2003-12-31,1.879491
2004-01-31,1.926252
2004-02-29,1.693064
2004-03-31,1.737242
2004-04-30,2.285092
2004-05-31,3.051771
2004-06-30,3.266195
2004-07-31,2.990756
2004-08-31,2.654388
2004-09-30,2.537797
2004-10-31,3.189189
2004-11-30,3.523035
2004-12-31,3.255562
2005-01-31,2.969762
2005-02-28,3.007519
2005-03-31,3.148346
2005-04-30,3.510638
2005-05-31,2.80275
2005-06-30,2.530311
2005-07-31,3.167899
2005-08-31,3.641161
2005-09-30,4.686677
2005-10-31,4.347826
2005-11-30,3.455497
2005-12-31,3.415659
2006-01-31,3.985317
2006-02-28,3.597497
2006-03-31,3.362649
2006-04-30,3.545735
2006-05-31,4.166667
2006-06-30,4.318766
2006-07-31,4.145343
2006-08-31,3.818737
2006-09-30,2.062374
2006-10-31,1.305221
2006-11-30,1.973684
2006-12-31,2.54065
2007-01-31,2.075643
2007-02-28,2.415199
2007-03-31,2.778779
2007-04-30,2.573697
2007-05-31,2.690864
2007-06-30,2.687038
2007-07-31,2.358231
2007-08-31,1.970083
2007-09-30,2.755052
2007-10-31,3.536174
2007-11-30,4.306203
2007-12-31,4.081269
2008-01-31,4.280294
2008-02-29,4.026555
2008-03-31,3.981456
2008-04-30,3.93689
2008-05-31,4.175543
2008-06-30,5.02179
2008-07-31,5.600123
2008-08-31,5.371855
2008-09-30,4.936927
2008-10-31,3.655186
2008-11-30,1.069575
2008-12-31,0.091413
2009-01-31,0.029847
2009-02-28,0.236191
2009-03-31,-0.383556
2009-04-30,-0.736886
2009-05-31,-1.281436
2009-06-30,-1.426776
2009-07-31,-2.097161
2009-08-31,-1.484349
2009-09-30,-1.286206
2009-10-31,-0.182848
2009-11-30,1.838296
2009-12-31,2.721331
2010-01-31,2.625709
2010-02-28,2.143332
2010-03-31,2.313959
2010-04-30,2.236447
